P,G,X,CHF,grid_base_proxy,grid_base_final
100.0,7000.0,0.35,2013.0,1997.0,1997.0
100.0,7000.0,0.4,1780.0,1824.0,1824.0
100.0,7000.0,0.45,1559.0,1590.0,1590.0
100.0,7000.0,0.5,1349.0,1366.0,1366.0
100.0,7000.0,0.6,943.0,943.0,943.0
100.0,7000.0,0.7,576.0,584.0,584.0
100.0,7000.0,0.8,319.0,318.0,318.0
100.0,7000.0,0.9,162.0,161.0,161.0
100.0,7500.0,-0.5,43448.0,39942.0,39942.0
100.0,7500.0,-0.4,36075.0,36075.0,36075.0
100.0,7500.0,-0.3,28604.0,28903.0,28903.0
100.0,7500.0,-0.2,15822.0,16061.0,16061.0
100.0,7500.0,-0.15,11538.0,11438.0,11438.0
100.0,7500.0,-0.1,10726.0,10777.0,10777.0
100.0,7500.0,-0.05,7087.0,7202.0,7202.0
100.0,7500.0,0.0,5381.0,6155.0,6155.0
100.0,7500.0,0.05,4585.0,3704.0,3704.0
100.0,7500.0,0.1,3699.0,3198.0,3198.0
100.0,7500.0,0.15,2996.0,3091.0,3091.0
100.0,7500.0,0.2,2751.0,2731.0,2731.0
100.0,7500.0,0.25,2526.0,2553.0,2553.0
100.0,7500.0,0.3,2285.0,2324.0,2324.0
100.0,7500.0,0.35,2060.0,2063.0,2063.0
100.0,7500.0,0.4,1838.0,1878.0,1878.0
100.0,7500.0,0.45,1622.0,1651.0,1651.0
100.0,7500.0,0.5,1414.0,1432.0,1432.0
100.0,7500.0,0.6,1000.0,998.0,998.0
100.0,7500.0,0.7,615.0,623.0,623.0
100.0,7500.0,0.8,347.0,347.0,347.0
100.0,7500.0,0.9,180.0,179.0,179.0
100.0,8000.0,-0.5,44338.0,40291.0,40291.0
100.0,8000.0,-0.4,36803.0,36003.0,36003.0
100.0,8000.0,-0.3,29089.0,29088.0,29088.0
100.0,8000.0,-0.2,16599.0,16498.0,16498.0
100.0,8000.0,-0.15,12085.0,12582.0,12582.0
100.0,8000.0,-0.1,10900.0,11149.0,11149.0
100.0,8000.0,-0.05,7313.0,7312.0,7312.0
100.0,8000.0,0.0,5392.0,6192.0,6192.0
100.0,8000.0,0.05,4689.0,3726.0,3726.0
100.0,8000.0,0.1,3780.0,3299.0,3299.0
100.0,8000.0,0.15,3031.0,3067.0,3067.0
100.0,8000.0,0.2,2778.0,2665.0,2665.0
100.0,8000.0,0.25,2553.0,2564.0,2564.0
100.0,8000.0,0.3,2320.0,2348.0,2348.0
100.0,8000.0,0.35,2103.0,2075.0,2075.0
100.0,8000.0,0.4,1890.0,1925.0,1925.0
100.0,8000.0,0.45,1679.0,1705.0,1705.0
100.0,8000.0,0.5,1473.0,1488.0,1488.0
100.0,8000.0,0.6,1054.0,1046.0,1046.0
100.0,8000.0,0.7,651.0,656.0,656.0
100.0,8000.0,0.8,371.0,370.0,370.0
100.0,8000.0,0.9,196.0,196.0,196.0
300.0,0.0,-0.5,8027.0,7927.0,7927.0
300.0,0.0,-0.4,7043.0,7043.0,7043.0
300.0,0.0,-0.3,6206.0,6106.0,6106.0
300.0,0.0,-0.2,4761.0,4761.0,4761.0
300.0,0.0,-0.15,4106.0,4111.0,4111.0
300.0,0.0,-0.1,3131.0,3199.5,3199.5
300.0,0.0,-0.05,2483.0,2254.0,2254.0
300.0,0.0,0.0,1374.0,1374.5,1374.5
300.0,0.0,0.05,883.0,883.0,883.0
300.0,0.0,0.1,606.0,606.5,606.5
300.0,0.0,0.15,420.0,420.5,420.5
300.0,0.0,0.2,313.0,313.5,313.5
300.0,0.0,0.25,248.0,248.0,248.0
300.0,0.0,0.3,205.0,205.0,205.0
300.0,0.0,0.35,180.0,180.5,180.5
300.0,0.0,0.4,165.0,165.0,165.0
300.0,0.0,0.45,148.0,148.0,148.0
300.0,0.0,0.5,141.0,141.0,141.0
300.0,0.0,0.6,135.0,135.5,135.5
300.0,0.0,0.7,131.0,133.0,133.0
300.0,0.0,0.8,125.0,116.5,116.5
300.0,0.0,0.9,67.0,80.0,80.0
300.0,50.0,-0.5,8153.0,8150.0,8150.0
300.0,50.0,-0.4,7058.0,7137.5,7137.5
300.0,50.0,-0.3,6287.0,6300.0,6300.0
300.0,50.0,-0.2,5304.0,5195.0,5195.0
300.0,50.0,-0.15,4564.0,4473.5,4473.5
300.0,50.0,-0.1,3729.0,3653.0,3653.0
300.0,50.0,-0.05,2847.0,2704.5,2704.5
300.0,50.0,0.0,2071.0,1870.0,1870.0
300.0,50.0,0.05,1587.0,1371.0,1371.0
300.0,50.0,0.1,1315.0,1064.0,1064.0
300.0,50.0,0.15,1052.0,880.0,880.0
300.0,50.0,0.2,871.0,772.5,772.5
300.0,50.0,0.25,709.0,702.5,702.5
300.0,50.0,0.3,599.0,653.0,653.0
300.0,50.0,0.35,516.0,579.5,579.5
300.0,50.0,0.4,499.0,499.5,499.5
300.0,50.0,0.45,457.0,457.0,457.0
300.0,50.0,0.5,389.0,426.0,426.0
300.0,50.0,0.6,372.0,377.0,377.0
300.0,50.0,0.7,362.0,336.0,336.0
300.0,50.0,0.8,274.0,260.5,260.5
300.0,50.0,0.9,207.0,219.5,219.5
300.0,100.0,-0.5,8418.0,8434.0,8434.0
300.0,100.0,-0.4,7315.0,7358.0,7358.0
300.0,100.0,-0.3,6499.0,6501.5,6501.5
300.0,100.0,-0.2,5509.0,5474.5,5474.5
