study,CHF_kW_m2,Ra_um,CA_deg,material,geometry,fluid,P_kPa,orient_deg,Subcooling(K),Width(um),Height(um),Spacing(um),Coverage,Porosity,"MBL, Lateral (um)","MBL, Total (um)"
Kong et al. 2018,458.3,3.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,25,30.0,60.0,30.0,0.49,0.75,90.0,60.0
Kong et al. 2018,521.6,3.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,35,30.0,60.0,30.0,0.49,0.75,90.0,60.0
Cao et al. 2018,208.2,1.0,,Silicon,pin_fin,FC-72,101.325,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cao et al. 2018,239.8,1.0,,Silicon,pin_fin,FC-72,101.325,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cao et al. 2018,264.5,1.0,,Silicon,pin_fin,FC-72,101.325,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cao et al. 2018,382.2,3.0,,Silicon,pin_fin,FC-72,101.325,0.0,15,30.0,60.0,30.0,0.78,0.75,90.0,60.0
Cao et al. 2018,444.0,3.0,,Silicon,pin_fin,FC-72,101.325,0.0,25,30.0,60.0,30.0,0.78,0.75,90.0,60.0
Cao et al. 2018,534.5,3.0,,Silicon,pin_fin,FC-72,101.325,0.0,35,30.0,60.0,30.0,0.78,0.75,90.0,60.0
Cao et al. 2018,380.1,2.478,,Silicon,pin_fin,FC-72,101.325,0.0,15,30.0,60.0,45.0,1.0,0.815,132.38,78.958
Cao et al. 2018,463.0,2.478,,Silicon,pin_fin,FC-72,101.325,0.0,25,30.0,60.0,45.0,1.0,0.815,132.38,78.958
Cao et al. 2018,553.1,2.478,,Silicon,pin_fin,FC-72,101.325,0.0,35,30.0,60.0,45.0,1.0,0.815,132.38,78.958
Guglielmini et al. 2002,558.0,8.5,,Copper,pin_fin,FC-72,101.325,0.0,0,400.0,3000.0,400.0,1.0,0.75,1200.0,1058.824
Guglielmini et al. 2002,570.1,8.5,,Copper,pin_fin,FC-72,101.325,0.0,0,400.0,3000.0,400.0,0.694,0.75,1200.0,1058.824
Guglielmini et al. 2002,517.9,8.5,,Copper,pin_fin,FC-72,101.325,0.0,0,400.0,3000.0,400.0,0.444,0.75,1200.0,1058.824
Guglielmini et al. 2002,650.0,16.0,,Copper,pin_fin,FC-72,101.325,0.0,0,400.0,6000.0,400.0,1.0,0.75,1200.0,1125.0
Guglielmini et al. 2002,597.0,16.0,,Copper,pin_fin,FC-72,101.325,0.0,0,400.0,6000.0,400.0,0.694,0.75,1200.0,1125.0
Guglielmini et al. 2002,655.6,16.0,,Copper,pin_fin,FC-72,101.325,0.0,0,400.0,6000.0,400.0,0.444,0.75,1200.0,1125.0
Guglielmini et al. 2002,489.3,4.0,,Copper,pin_fin,FC-72,101.325,0.0,0,1000.0,3000.0,1000.0,1.0,0.75,3000.0,2250.0
Guglielmini et al. 2002,459.4,4.0,,Copper,pin_fin,FC-72,101.325,0.0,0,1000.0,3000.0,1000.0,0.694,0.75,3000.0,2250.0
Guglielmini et al. 2002,439.0,4.0,,Copper,pin_fin,FC-72,101.325,0.0,0,1000.0,3000.0,1000.0,0.444,0.75,3000.0,2250.0
Guglielmini et al. 2002,711.6,7.0,,Copper,pin_fin,FC-72,101.325,0.0,0,1000.0,6000.0,1000.0,1.0,0.75,3000.0,2571.429
Guglielmini et al. 2002,559.6,7.0,,Copper,pin_fin,FC-72,101.325,0.0,0,1000.0,6000.0,1000.0,0.694,0.75,3000.0,2571.429
Guglielmini et al. 2002,660.7,7.0,,Copper,pin_fin,FC-72,101.325,0.0,0,1000.0,6000.0,1000.0,0.444,0.75,3000.0,2571.429
