TestID,Diameter,Perimeter,Area,Length,Pressure,Power,MassFlux,MassFlow,InletTemperature,InletEnthalpy,HeatFlux,CHFLocation,Shape,Fluid,Source,Continuous,Quality,QualityPosition,WallPower,WallMesh
119,0.00973,0.0306,7.4356e-05,1.73,6.931e+06,132178.8,2034.4,0.1513,164.5,698087.21,2499500,1.575,middle(3),water,Lee(1963),yes,-0.375,0.0,0.211,0.043
120,0.00973,0.0306,7.4356e-05,1.73,6.897e+06,91872.1,4041.8,0.3005,274.6,1207442.41,1737300,1.473,middle(3),water,Lee(1963),yes,-0.036,0.0,0.211,0.043
121,0.00973,0.0306,7.4356e-05,1.73,6.897e+06,92723.5,4041.8,0.3005,274.6,1207442.41,1753400,1.473,middle(3),water,Lee(1963),yes,-0.036,0.0,0.211,0.043
122,0.00973,0.0306,7.4356e-05,1.73,6.966e+06,92723.5,4041.8,0.3005,274.9,1208963.79,1753400,1.524,middle(3),water,Lee(1963),yes,-0.038,0.0,0.211,0.043
123,0.00973,0.0306,7.4356e-05,1.73,6.862e+06,101142.3,4041.8,0.3005,252.9,1098964.22,1912600,1.524,middle(3),water,Lee(1963),yes,-0.107,0.0,0.211,0.043
124,0.00973,0.0306,7.4356e-05,1.73,6.862e+06,101142.3,4041.8,0.3005,252.9,1098964.22,1912600,1.524,middle(3),water,Lee(1963),yes,-0.107,0.0,0.211,0.043
125,0.00973,0.0306,7.4356e-05,1.73,6.931e+06,101523.1,4055.3,0.3015,252.7,1097991.05,1919800,1.524,middle(3),water,Lee(1963),yes,-0.11,0.0,0.211,0.043
126,0.00973,0.0306,7.4356e-05,1.73,6.966e+06,121105.3,4041.8,0.3005,229.5,988028.6,2290100,1.524,middle(3),water,Lee(1963),yes,-0.184,0.0,0.211,0.043
127,0.00973,0.0306,7.4356e-05,1.73,7.000e+06,121010.1,4041.8,0.3005,229.4,987572.16,2288300,1.524,middle(3),water,Lee(1963),yes,-0.186,0.0,0.211,0.043
128,0.00973,0.0306,7.4356e-05,1.73,7.000e+06,122808.1,4055.3,0.3015,229.4,987572.16,2322300,1.575,middle(3),water,Lee(1963),yes,-0.186,0.0,0.211,0.043
129,0.00973,0.0306,7.4356e-05,1.73,6.862e+06,145515.7,4041.8,0.3005,208,889775.31,2751700,1.575,middle(3),water,Lee(1963),yes,-0.245,0.0,0.211,0.043
130,0.00973,0.0306,7.4356e-05,1.73,6.897e+06,146086.8,4041.8,0.3005,207.9,889338.12,2762500,1.575,middle(3),water,Lee(1963),yes,-0.247,0.0,0.211,0.043
131,0.00973,0.0306,7.4356e-05,1.73,6.966e+06,146086.8,4041.8,0.3005,208.1,890264.81,2762500,1.575,middle(3),water,Lee(1963),yes,-0.249,0.0,0.211,0.043
132,0.00973,0.0306,7.4356e-05,1.73,6.862e+06,164632.6,4041.8,0.3005,190.3,810832,3113200,1.524,middle(3),water,Lee(1963),yes,-0.297,0.0,0.211,0.043
133,0.00973,0.0306,7.4356e-05,1.73,6.897e+06,165859.5,4041.8,0.3005,190.2,810406.58,3136400,1.626,middle(3),water,Lee(1963),yes,-0.299,0.0,0.211,0.043
134,0.00973,0.0306,7.4356e-05,1.73,7.138e+06,170497.2,4041.8,0.3005,190.3,810962.28,3224100,1.575,middle(3),water,Lee(1963),yes,-0.31,0.0,0.211,0.043
135,0.00973,0.0306,7.4356e-05,1.73,1.093e+07,65092.60000000001,2020.9,0.1503,284.3,1256013,1230900,1.473,middle(3),water,Lee(1963),yes,-0.152,0.0,0.211,0.043
136,0.00973,0.0306,7.4356e-05,1.73,1.100e+07,65092.60000000001,2020.9,0.1503,284.4,1256500.2,1230900,1.575,middle(3),water,Lee(1963),yes,-0.154,0.0,0.211,0.043
137,0.00973,0.0306,7.4356e-05,1.73,1.107e+07,65002.7,2007.3,0.1493,284.5,1256987.37,1229200,1.575,middle(3),water,Lee(1963),yes,-0.157,0.0,0.211,0.043
