dataset,n,model,split,split_warning,R2,median_fold_R2,worst_fold_R2,RMSE_log,MAE_log,MAPE_pct,n_groups,seconds
ATF_surface,65,XGBoost,II_condition_wise,,-1.4063811988332766,-4.638322625828017,-6.634833674478377,0.6171784966306568,0.5507322908369279,52.14012899186299,2.0,0.4
ATF_surface,65,XGBoost,III_surface_wise,DEGENERATE: 65 groups for 65 rows -> equivalent to random split,0.6321952512506395,0.7193183198071234,0.27709424849367537,0.2412888421457692,0.17784317514314044,18.830855191875198,65.0,1.1
ATF_surface,65,XGBoost,IV_leave_one_publication_out,"DEGENERATE: groups are 100% study-pure -> this is a study split, not a genuine IV_leave_one_publication_out",-0.26912717075628034,-5.836798194144613,-25.058225608387374,0.4482095897791272,0.38317318876052525,45.1971252734105,10.0,2.2
ATF_surface,65,LightGBM,I_random,,0.5253305487717785,0.554327947764679,0.1588790157345643,0.27410958018875425,0.20304135820285188,21.540617314036957,,0.2
ATF_surface,65,LightGBM,II_condition_wise,,-1.3828011124805375,-5.145784777371646,-7.977598837223475,0.6141471918959861,0.5415628601621159,53.50152526482421,2.0,0.0
ATF_surface,65,LightGBM,III_surface_wise,DEGENERATE: 65 groups for 65 rows -> equivalent to random split,0.5755761798842101,0.5849690211403731,0.452214733556645,0.25919609147596034,0.19810722800230834,20.642709442446243,65.0,0.2
ATF_surface,65,LightGBM,IV_leave_one_publication_out,"DEGENERATE: groups are 100% study-pure -> this is a study split, not a genuine IV_leave_one_publication_out",-0.37319159180372785,-5.462539144781143,-7.977598837223475,0.4662234793380922,0.39469418146438917,47.03664461649465,10.0,0.4
ATF_surface,65,CatBoost,I_random,,0.7063296133881529,0.6752377968830301,0.546385583415655,0.21560491196140597,0.16069866248018572,16.59531167043853,,0.3
ATF_surface,65,CatBoost,II_condition_wise,,-1.4393342702570084,-4.551603868579022,-6.326414052979283,0.6213899600324211,0.5484406282544687,51.377475020085996,2.0,0.0
ATF_surface,65,CatBoost,III_surface_wise,DEGENERATE: 65 groups for 65 rows -> equivalent to random split,0.7231378820513836,0.7001300181147545,0.5601567166614023,0.20934391499793017,0.16094119368774903,16.759859665642104,65.0,0.2
